Station Name,Month,Period,No. of Years,Mean Temperature in degree C - Maximum,Mean Temperature  in degree C - Minimum,Mean Rainfall in mm
Abu,January,1901-2000,100,19.3,8,5.3
Abu,February,1901-2000,100,21,10,4.4
Abu,March,1901-2000,100,25.3,14.5,6.5
Abu,April,1901-2000,100,29.4,18.7,2.6
Abu,May,1901-2000,100,31.5,21,16.4
Abu,June,1901-2000,100,29.1,19.8,101.6
Abu,July,1901-2000,100,24.5,18.7,573.2
Abu,August,1901-2000,100,22.7,17.8,600.3
Abu,September,1901-2000,100,24.5,17.6,214.2
Abu,October,1901-2000,100,26.7,16.2,19.4
Abu,November,1901-2000,100,23.8,12.1,7.9
Abu,December,1901-2000,100,20.9,9,2.4
Agartala (A),January,1953-2000,43,25.6,10,27.5
Agartala (A),February,1953-2000,43,28.3,13.2,21.5
Agartala (A),March,1953-2000,43,32.5,18.7,60.7
Agartala (A),April,1953-2000,43,33.7,22.2,199.7
Agartala (A),May,1953-2000,43,32.8,23.5,329.9
Agartala (A),June,1953-2000,43,31.8,24.6,393.4
Agartala (A),July,1953-2000,43,31.4,24.8,363.1
Agartala (A),August,1953-2000,43,31.7,24.7,298.7
Agartala (A),September,1953-2000,43,31.7,24.3,232.4
Agartala (A),October,1953-2000,43,31.1,22,162.5
Agartala (A),November,1953-2000,43,29.2,16.6,46
Agartala (A),December,1953-2000,43,26.4,11.3,10.6
Agra,January,1901-2000,100,22.3,7.7,13.2
Agra,February,1901-2000,100,25.5,10.3,17.6
Agra,March,1901-2000,100,31.9,15.5,9.3
Agra,April,1901-2000,100,37.9,21.5,6.3
Agra,May,1901-2000,100,41.7,26.5,11.3
Agra,June,1901-2000,100,40.7,28.9,55.7
Agra,July,1901-2000,100,35.3,26.8,203.3
Agra,August,1901-2000,100,33.2,25.7,243.2
Agra,September,1901-2000,100,34,24.3,129.7
Agra,October,1901-2000,100,34,19.1,24.8
Agra,November,1901-2000,100,29.2,12.5,4.3
Agra,December,1901-2000,100,23.9,8.2,6.1
Ahmedabad,January,1901-2000,100,28.7,13.1,2.1
Ahmedabad,February,1901-2000,100,31,14.8,1.2
Ahmedabad,March,1901-2000,100,35.9,19.4,1.1
Ahmedabad,April,1901-2000,100,39.5,23.5,1.9
Ahmedabad,May,1901-2000,100,41.4,26.3,9.1
Ahmedabad,June,1901-2000,100,38.5,27.2,97.4
Ahmedabad,July,1901-2000,100,33.5,25.7,309.8
Ahmedabad,August,1901-2000,100,32,24.9,213.8
Ahmedabad,September,1901-2000,100,33.5,24.4,126.6
Ahmedabad,October,1901-2000,100,35.8,21.9,13.5
Ahmedabad,November,1901-2000,100,33.2,17.5,6.1
Ahmedabad,December,1901-2000,100,29.9,14.1,1.7
Aijal/Aizwal,January,1937-1992,34,20.4,11.4,13.4
Aijal/Aizwal,February,1937-1992,34,21.7,12.8,23.4
Aijal/Aizwal,March,1937-1992,34,25.2,15.6,73.4
Aijal/Aizwal,April,1937-1992,34,26.8,17.5,167.7
