YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
1901,13.58,14.72,17.91,20.93,23.18,24.05,23.82,23.58,22.09,20.20,16.16,13.41,19.51,14.16,20.67,23.38,16.59
1902,13.08,14.20,18.44,21.30,23.63,23.97,23.68,23.34,22.11,19.63,16.35,13.53,19.44,13.64,21.12,23.28,16.50
1903,13.20,14.55,17.12,20.67,22.95,23.85,23.53,23.29,22.84,20.12,15.84,12.93,19.25,13.87,20.25,23.40,16.29
1904,13.04,14.07,17.70,21.42,23.02,23.64,23.35,23.03,21.65,19.50,15.77,14.06,19.22,13.72,20.72,22.96,16.44
1905,12.83,12.74,16.88,19.62,23.32,24.13,23.93,24.31,22.47,21.65,16.63,13.59,19.03,12.81,19.97,23.43,16.39
1906,12.73,14.59,17.12,21.12,24.01,23.85,23.92,23.35,22.54,19.96,16.30,14.39,19.51,13.72,20.76,23.45,16.88
1907,14.07,14.85,17.05,22.17,22.39,23.40,23.51,23.19,21.84,19.55,16.37,12.50,19.08,14.46,19.87,22.98,16.14
1908,13.14,14.21,17.04,21.69,23.10,23.87,23.71,23.29,21.91,19.17,15.24,12.59,19.09,13.68,20.61,23.19,15.70
1909,12.91,13.75,17.59,20.75,22.88,23.62,23.33,23.07,21.86,19.49,16.32,14.03,19.13,13.33,20.40,22.97,16.61
1910,13.04,14.31,17.32,20.49,23.22,23.61,23.47,23.36,22.16,19.17,15.13,12.76,19.01,13.68,20.35,23.15,15.72
1911,13.81,13.80,17.09,20.71,23.34,23.86,23.49,23.33,22.34,19.73,16.42,13.82,19.31,13.81,20.41,23.26,16.66
1912,13.50,15.62,17.19,21.13,23.30,23.89,23.94,23.19,21.45,19.24,15.65,13.17,19.27,14.56,20.54,23.12,16.02
1913,12.69,15.13,16.67,21.20,22.83,23.58,23.35,23.13,21.74,19.31,15.58,13.84,19.09,13.91,20.24,22.96,16.24
1914,13.50,14.57,17.26,20.48,23.26,24.25,24.04,23.02,22.57,19.34,17.00,13.65,19.41,14.03,20.33,23.47,16.66
1915,13.27,14.19,17.76,21.08,24.15,24.15,24.03,23.85,22.87,20.79,16.75,12.83,19.64,13.73,21.00,23.72,16.79
1916,12.92,14.36,18.28,21.69,22.90,23.84,23.55,23.57,22.28,20.25,15.92,12.52,19.34,13.64,20.95,23.31,16.23
1917,12.65,14.55,17.06,19.96,22.13,23.45,23.74,23.43,22.53,19.75,15.66,13.35,19.02,13.60,19.72,23.29,16.25
1918,12.48,14.01,17.44,19.86,23.19,23.37,23.72,23.36,21.75,19.07,16.47,13.44,19.02,13.24,20.15,23.06,16.33
1919,14.24,14.20,17.73,20.83,23.03,24.10,23.77,23.59,21.88,19.30,16.12,13.66,19.37,14.22,20.53,23.33,16.36
1920,13.66,13.93,17.94,20.57,21.95,23.35,23.91,22.77,22.03,19.67,16.22,12.74,19.07,13.79,20.15,23.01,16.26
1921,13.62,16.34,18.48,21.74,25.74,23.67,23.64,23.36,22.06,19.12,15.60,14.30,19.54,13.85,21.16,23.18,16.34
1922,13.65,14.95,17.93,21.25,24.92,23.65,23.67,23.36,22.39,19.07,15.85,13.17,19.32,14.31,20.56,23.27,16.03
